Date,StockCode,Open,High,Low,Close,Volume,Return
2021-12-20,EQTY,50.25,50.5,50.25,50.25,1155900.0,0.0
2021-12-21,EQTY,50.25,50.5,50.25,50.25,1155900.0,0.0
2021-12-22,EQTY,50.25,50.5,50.25,50.25,1155900.0,0.0
2021-12-23,EQTY,50.25,50.5,50.25,50.25,1155900.0,0.0
2021-12-24,EQTY,50.25,50.5,50.25,50.25,1155900.0,0.0
2021-12-27,EQTY,50.25,50.5,50.25,50.25,1155900.0,0.0
2021-12-28,EQTY,50.25,50.5,50.25,50.25,1155900.0,0.0
2021-12-29,EQTY,50.25,50.5,50.25,50.25,1155900.0,0.0
2021-12-30,EQTY,50.25,50.5,50.25,50.25,1155900.0,0.0
2021-12-31,EQTY,50.25,50.5,50.25,50.25,1155900.0,0.0
2022-01-03,EQTY,50.0,50.5,49.55,50.0,1472900.0,-0.0049751243781094
2022-01-04,EQTY,50.5,51.0,49.0,49.15,133600.0,-0.017
2022-01-05,EQTY,50.5,51.0,49.0,49.15,133600.0,0.0
2022-01-06,EQTY,50.5,51.0,49.0,49.15,133600.0,0.0
2022-01-07,EQTY,43.0,43.45,42.0,43.0,3507900.0,-0.1251271617497457
2022-01-10,EQTY,43.0,43.45,42.0,43.0,3507900.0,0.0
2022-01-11,EQTY,46.7,46.8,46.0,46.45,2949700.0,0.0802325581395348
2022-01-12,EQTY,45.65,46.5,45.0,45.4,162000.0,-0.0226049515608182
2022-01-13,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-14,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-17,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-18,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-19,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-20,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-21,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-24,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-25,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-26,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-27,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-28,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-01-31,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-02-01,EQTY,45.65,46.5,45.0,45.4,162000.0,0.0
2022-02-02,EQTY,52.75,53.5,52.0,53.0,2262500.0,0.1674008810572687
2022-02-03,EQTY,50.0,51.75,49.8,50.25,1027800.0,-0.0518867924528302
2022-02-04,EQTY,50.0,51.75,49.8,50.25,1027800.0,0.0
2022-02-07,EQTY,50.0,51.75,49.8,50.25,1027800.0,0.0
2022-02-08,EQTY,47.7,48.0,47.5,47.7,835100.0,-0.0507462686567163
2022-02-09,EQTY,48.0,50.0,48.0,48.15,368100.0,0.0094339622641508
2022-02-10,EQTY,48.0,50.0,48.0,48.15,368100.0,0.0
2022-02-11,EQTY,46.45,46.5,44.0,46.1,550800.0,-0.0425752855659397
2022-02-14,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-02-15,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-02-16,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-02-17,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-02-18,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-02-21,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-02-22,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-02-23,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-02-24,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-02-25,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-02-28,EQTY,46.45,46.5,44.0,46.1,550800.0,0.0
2022-03-01,EQTY,52.75,54.5,51.0,52.75,4702000.0,0.1442516268980476
2022-03-02,EQTY,53.0,53.25,52.25,53.0,1652000.0,0.0047393364928909
2022-03-03,EQTY,50.25,53.0,50.25,51.0,1640800.0,-0.0377358490566037
2022-03-04,EQTY,50.25,53.0,50.25,51.0,1640800.0,0.0
2022-03-07,EQTY,50.25,53.0,50.25,51.0,1640800.0,0.0
2022-03-08,EQTY,47.7,48.0,47.4,47.5,3131600.0,-0.0686274509803921
2022-03-09,EQTY,47.7,48.0,47.4,47.5,3131600.0,0.0
2022-03-10,EQTY,46.45,47.1,46.1,46.2,470900.0,-0.0273684210526314
2022-03-11,EQTY,46.1,46.0,45.0,45.9,28000.0,-0.0064935064935065
2022-03-14,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-15,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-16,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-17,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-18,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-21,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-22,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-23,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-24,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-25,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-28,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-29,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-30,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-03-31,EQTY,46.1,46.0,45.0,45.9,28000.0,0.0
2022-04-01,EQTY,52.75,53.5,53.0,53.25,2160700.0,0.1601307189542484
2022-04-04,EQTY,49.15,51.0,49.0,49.15,69100.0,-0.0769953051643193
2022-04-05,EQTY,47.9,48.5,45.05,47.95,2170800.0,-0.0244150559511697
2022-04-06,EQTY,47.9,48.5,45.05,47.95,2170800.0,0.0
2022-04-07,EQTY,43.0,43.45,42.0,43.0,3507900.0,-0.1032325338894682
2022-04-08,EQTY,47.5,48.5,47.5,48.0,2186800.0,0.1162790697674418
2022-04-11,EQTY,45.9,46.0,45.0,45.7,47900.0,-0.0479166666666666
2022-04-12,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-13,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-14,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-15,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-18,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-19,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-20,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-21,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-22,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-25,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-26,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-27,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-28,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-04-29,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-05-02,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-05-03,EQTY,45.9,46.0,45.0,45.7,47900.0,0.0
2022-05-04,EQTY,49.15,50.0,49.2,49.5,1403800.0,0.0831509846827132
2022-05-05,EQTY,47.95,48.5,47.0,47.5,66700.0,-0.0404040404040404
2022-05-06,EQTY,47.95,48.5,47.0,47.5,66700.0,0.0
2022-05-09,EQTY,48.15,52.5,47.95,48.1,1466600.0,0.0126315789473685
2022-05-10,EQTY,46.2,46.3,46.0,46.15,193800.0,-0.0405405405405405
2022-05-11,EQTY,46.2,46.3,46.0,46.15,193800.0,0.0
2022-05-12,EQTY,45.05,45.5,45.0,45.0,600200.0,-0.0249187432286023
2022-05-13,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
2022-05-16,EQTY,45.05,45.5,45.0,45.0,600200.0,0.0
